id_facture,montant_total,nb_relances,delai_paiement,client_id,nb_commandes_client,total_achats_client,moyenne_retard_client,type_client,statut_final_facture
144,33583.44,2,41,325,22,52740.42,4.85,client,partielle
145,32059.85,2,38,342,21,112167.31,7.55,client,partielle
146,8504.26,5,61,500,10,25582.82,2.16,client,impayée
147,62908.61,2,61,159,15,65260.28,3.96,client,partielle
148,52754.51,2,44,275,26,249675.91,5.55,client,partielle
149,9890.48,2,24,243,23,181191.69,3.16,client,payée
150,31471.41,2,21,146,10,80447.96,7.41,client,partielle
151,91285.26,4,56,186,2,6151.78,13.48,client,impayée
152,27758.38,1,8,198,5,33147.44,5.45,client,payée
153,18765.01,1,67,201,29,148209.82,0.39,client,payée
154,51498.01,0,54,30,8,62987.53,4.71,client,partielle
155,98636.79,6,86,223,6,19540.11,5.96,client,impayée
156,27995.25,0,54,163,6,25532.22,1.67,client,payée
157,68852.88,3,20,17,1,9188.58,1.94,client,partielle
158,77353.86,1,76,234,16,53731.79,4.52,client,partielle
159,27575.57,1,65,400,18,127067.33,6.14,client,partielle
160,74180.55,0,48,225,3,13563.65,10.26,client,impayée
161,39939.4,1,22,324,7,18585.58,7.19,client,partielle
162,65069.05,1,54,479,12,45473.51,0.72,client,payée
163,65185.32,1,84,254,10,89552.75,2.14,client,partielle
164,55898.59,2,34,289,22,204256.73,0.81,client,payée
165,13577.53,3,53,242,21,112532.04,7.07,client,impayée
166,84353.74,0,25,244,25,174180.19,1.55,client,payée
167,35474.11,2,26,292,10,61639.85,0.66,client,payée
168,22719.26,2,51,267,23,97463.71,0.51,client,payée
169,8873.64,2,29,188,9,42825.26,0.61,client,payée
170,61134.83,1,60,120,27,167793.23,1.42,client,payée
171,69368.61,1,68,260,11,83191.86,7.62,client,impayée
172,6575.84,0,32,191,19,91178.14,1.36,client,payée
173,53648.84,3,37,243,27,204965.61,1.65,client,payée
174,26517.1,1,70,356,8,77502.77,10.63,client,impayée
175,66291.42,1,8,5,28,61500.8,2.92,client,payée
176,21564.81,4,84,192,25,82767.41,3.55,client,impayée
177,70639.09,2,16,341,18,167943.05,0.01,client,payée
178,41739.86,6,21,205,4,10290.23,0.43,client,partielle
179,93989.35,1,40,132,2,16240.75,6.75,client,partielle
180,18064.49,1,20,490,13,90893.74,2.03,client,payée
181,37401.3,2,27,114,23,54776.97,0.81,client,payée
182,15779.98,2,76,291,14,28081.48,2.8,client,partielle
183,92845.89,1,13,26,20,120319.86,0.23,client,payée
184,88347.24,2,82,154,28,82285.38,6.18,client,impayée
185,29504.45,3,59,19,22,197509.94,0.42,client,partielle
186,67698.48,2,77,37,24,140308.73,0.28,client,partielle
187,82636.11,0,68,139,15,58133.28,2.72,client,payée
188,57744.08,1,51,66,13,43493.31,4.42,client,partielle
189,55316.8,1,71,384,6,52117.09,7.22,client,impayée
190,27975.97,1,14,31,20,154998.2,0.37,client,payée
191,13844.76,0,8,402,6,46462.21,2.04,client,payée
192,90235.5,1,34,203,1,2682.45,1.56,client,payée
193,90539.72,2,15,44,15,104942.14,6.81,client,partielle
194,65144.64,1,55,272,6,53735.16,2.31,client,payée
195,37207.83,1,23,442,27,219434.54,4.94,client,payée
196,38174.91,1,17,2,15,44178.8,3.36,client,payée
197,73965.79,2,61,59,15,143913.52,4.22,client,partielle
198,90225.47,0,7,246,14,35810.25,2.28,client,payée
199,89273.21,0,82,480,10,64552.35,1.37,client,payée
200,79088.18,0,78,376,29,277242.86,0.31,client,payée
201,65993.01,2,42,176,27,231607.45,0.95,client,payée
202,12993.3,1,31,496,8,59573.06,0.95,client,payée
203,20354.73,2,84,470,4,35403.0,13.65,client,impayée
204,90362.65,0,14,164,25,184656.26,13.85,client,impayée
205,62610.76,1,57,264,22,53670.99,1.48,client,payée
206,5873.72,2,31,36,6,28841.85,0.56,client,payée
207,14639.8,3,11,107,20,108339.6,1.65,client,payée
208,68032.67,3,86,25,24,152904.43,7.96,client,impayée
209,5480.85,2,17,424,21,80579.59,10.23,client,impayée
210,20276.76,0,76,381,28,253382.62,3.48,client,partielle
211,57129.71,1,64,236,17,65103.29,3.88,client,partielle
212,70730.04,3,18,479,23,166997.23,3.07,client,payée
213,66936.32,2,48,260,24,216308.63,1.01,client,payée
214,26305.58,0,74,487,22,172975.1,0.26,client,payée
215,72657.03,2,88,109,7,21616.71,4.86,client,impayée
216,27538.66,4,32,171,12,115333.84,8.02,client,impayée
217,35912.97,3,27,458,23,62912.65,6.92,client,partielle
218,75916.68,1,16,155,4,14402.15,11.53,client,impayée
219,66715.13,3,28,489,14,43595.23,8.4,client,impayée
220,85676.22,0,55,422,4,29341.35,1.7,client,payée
221,67473.22,3,26,465,16,135348.49,0.62,client,payée
222,58989.32,1,66,109,28,109315.55,2.82,client,partielle
223,13899.1,1,30,422,1,9833.99,2.14,client,payée
224,39933.0,4,62,120,18,56051.11,6.52,client,impayée
225,30194.22,2,75,448,19,86012.01,0.35,client,partielle
226,28179.02,5,19,217,21,124371.95,14.32,client,impayée
227,97436.0,3,72,145,10,84707.81,15.75,client,impayée
228,42344.28,2,10,397,25,125308.51,0.46,client,payée
229,89744.42,0,6,341,5,17195.85,2.85,client,payée
230,64958.17,2,35,335,13,74353.37,11.47,client,impayée
231,80507.07,2,28,112,6,34871.77,1.04,client,payée
232,52750.52,1,39,117,23,48981.76,5.89,client,partielle
233,59805.87,3,51,24,4,8668.43,6.21,client,impayée
234,51789.18,1,35,263,16,67537.77,1.33,client,payée
235,23548.08,0,76,448,8,63438.13,0.03,client,payée
236,73632.95,3,80,117,16,78846.76,5.46,client,impayée
237,31673.37,4,6,493,11,40585.99,4.8,client,partielle
238,7310.02,1,83,63,22,63883.54,5.24,client,partielle
239,66319.87,1,63,252,27,114592.8,0.85,client,payée
240,21825.51,3,67,230,1,5851.51,4.63,client,impayée
241,94343.57,0,79,488,22,60434.79,3.9,client,partielle
242,95623.21,1,21,150,18,38150.49,3.01,client,payée
243,91912.12,5,58,106,4,12073.83,7.5,client,impayée
244,40165.08,0,25,181,11,86942.2,2.46,client,payée
245,6468.38,2,26,330,20,114609.56,2.18,client,payée
246,93190.26,0,59,481,10,55613.38,3.89,client,payée
247,45677.49,1,33,268,16,34528.34,14.43,client,impayée
248,96832.21,4,83,456,29,222939.12,2.11,client,impayée
249,96543.9,4,25,104,10,36152.71,2.95,client,partielle
250,86035.9,0,6,381,5,13634.62,1.55,client,payée
251,32972.64,7,46,278,26,227142.84,5.69,client,impayée
252,41584.28,2,56,487,28,164776.18,2.26,client,partielle
253,85857.98,2,42,167,18,143846.36,5.9,client,partielle
254,35107.59,1,7,47,22,188651.74,0.79,client,payée
255,21101.81,3,29,448,11,106886.29,1.53,client,payée
256,57896.12,0,81,44,3,20968.79,1.16,client,payée
257,93934.7,1,66,16,9,22916.02,7.51,client,impayée
258,71122.83,0,19,315,15,96922.58,0.47,client,payée
259,59155.81,1,74,496,22,133675.98,1.45,client,payée
260,14231.77,0,14,34,19,46749.7,3.54,client,payée
261,63425.69,0,77,430,19,84557.91,0.46,client,payée
262,99055.12,0,73,208,5,26487.12,0.06,client,payée
263,18307.98,3,48,462,6,19726.82,5.87,client,impayée
264,54241.32,1,45,454,4,8280.37,4.75,client,partielle
265,88350.44,2,87,55,12,96669.91,0.04,client,partielle
266,75373.02,1,24,376,5,44065.38,0.25,client,payée
267,71216.5,1,41,253,3,11498.44,1.24,client,payée
268,71735.99,1,43,370,10,20304.03,11.83,client,impayée
269,39151.66,1,81,74,13,118553.44,5.29,client,partielle
270,32891.23,1,74,24,4,12286.72,8.17,client,impayée
271,81889.31,5,12,411,24,125420.05,7.12,client,impayée
272,81960.77,0,47,111,8,39421.84,20.38,client,impayée
273,87371.87,1,14,242,1,3314.09,14.99,client,impayée
274,91757.85,1,45,457,20,135809.69,0.35,client,payée
275,53577.53,2,8,240,2,18696.67,0.11,client,payée
276,52644.05,1,82,400,4,24439.15,3.44,client,partielle
277,80838.04,1,8,130,21,205449.28,1.59,client,payée
278,66746.57,3,28,159,1,3526.17,3.51,client,partielle
279,71686.85,1,25,63,28,246064.53,0.48,client,payée
280,80600.3,0,14,47,21,85160.56,11.98,client,partielle
281,89550.51,1,50,255,7,28030.32,7.44,client,partielle
282,37109.54,1,74,19,5,14707.66,4.02,client,partielle
283,40680.38,3,84,56,23,204908.47,3.13,client,impayée
284,13928.28,1,48,11,13,101406.11,3.16,client,payée
285,59936.61,2,37,342,25,118331.37,4.79,client,partielle
286,8414.52,2,40,477,13,62339.35,3.94,client,partielle
287,49231.81,0,29,377,8,70066.86,3.29,client,payée
288,56551.24,2,17,223,17,160151.12,5.69,client,partielle
289,32221.42,0,43,392,10,68194.07,7.24,client,partielle
290,61129.16,0,83,74,10,52547.15,5.15,client,partielle
291,7897.52,1,42,134,2,4850.3,2.48,client,payée
292,8548.08,2,34,159,6,18075.12,2.67,client,payée
293,83147.05,3,18,243,21,65820.35,0.52,client,payée
294,39218.11,2,54,99,1,4214.43,2.68,client,partielle
295,17070.75,1,72,306,18,73012.58,7.7,client,impayée
296,54613.11,1,5,360,3,19029.16,0.34,client,payée
297,78149.39,2,65,250,26,248372.78,0.97,client,payée
298,25503.0,0,7,29,21,186759.05,9.25,client,partielle
299,64174.6,2,54,277,7,42513.13,4.2,client,partielle
300,13108.01,3,65,169,16,34214.18,5.56,client,impayée
301,9909.76,2,40,325,22,56038.21,1.94,client,payée
302,55478.69,2,8,197,3,26648.42,3.35,client,payée
303,56360.34,0,47,88,6,25614.24,7.17,client,partielle
304,65555.84,0,18,335,4,18178.89,10.44,client,partielle
305,73978.68,2,71,440,16,49891.51,18.29,client,impayée
306,97705.95,0,11,284,3,11354.72,9.52,client,partielle
307,54048.53,5,12,162,4,15910.02,0.35,client,payée
308,35680.86,0,48,56,11,58264.22,2.1,client,payée
309,80542.69,0,68,461,24,167643.94,6.91,client,partielle
310,30729.06,2,11,183,17,82029.23,2.71,client,payée
311,46702.28,2,52,428,19,106379.22,2.87,client,partielle
312,12453.36,0,66,416,26,89835.22,7.91,client,partielle
313,7408.32,1,29,380,28,68631.29,8.96,client,partielle
314,96451.6,2,85,214,8,38287.38,7.84,client,impayée
315,84418.11,2,72,29,28,69998.09,2.19,client,partielle
316,71117.55,2,68,3,14,61568.66,1.29,client,partielle
317,43850.53,1,22,325,26,226220.55,2.22,client,payée
318,21462.96,4,8,498,16,78967.15,6.04,client,partielle
319,19861.52,4,21,267,25,88652.35,2.27,client,partielle
320,28773.08,0,51,254,19,175114.27,0.28,client,payée
321,57176.53,1,85,176,16,113836.72,8.07,client,impayée
322,72886.61,0,49,105,25,247650.36,0.33,client,payée
323,67718.75,1,62,309,10,44020.11,27.78,client,impayée
324,31593.72,2,7,312,15,54044.29,9.89,client,partielle
325,95712.2,3,16,437,27,118355.1,15.66,client,impayée
326,75100.21,0,21,154,26,220998.41,8.96,client,partielle
327,57663.63,1,26,393,4,12848.91,0.53,client,payée
328,63113.47,4,43,364,28,110001.54,2.71,client,partielle
329,44862.01,2,43,459,4,30452.25,11.93,client,impayée
330,28534.44,2,20,193,29,229216.1,0.48,client,payée
331,38817.4,4,55,358,13,125719.5,1.82,client,partielle
332,76995.38,1,33,493,12,118094.56,3.15,client,payée
333,6367.38,2,82,56,15,109623.73,2.99,client,partielle
334,16026.9,2,75,284,29,142168.35,14.4,client,impayée
335,9370.25,3,45,151,23,129354.61,2.51,client,partielle
336,8869.24,0,61,415,13,71683.84,1.37,client,payée
337,86268.76,1,32,450,6,30594.14,2.94,client,payée
338,71847.5,1,81,189,26,122355.01,2.52,client,partielle
339,50046.51,2,84,82,14,46804.84,4.88,client,impayée
340,14294.25,0,25,16,3,14787.82,25.7,client,impayée
341,51703.51,2,8,187,8,78030.7,4.01,client,payée
342,49979.82,2,19,234,12,108687.01,3.1,client,payée
343,21454.18,1,57,465,14,97140.58,4.51,client,partielle
344,46215.91,2,50,176,5,17712.24,19.51,client,impayée
345,42857.95,2,11,273,2,18058.64,4.9,client,partielle
346,63505.76,1,22,495,10,44949.28,0.66,client,payée
347,65333.9,2,25,35,3,19097.16,12.19,client,impayée
348,9303.88,1,12,95,23,213770.24,4.47,client,payée
349,40588.2,2,63,483,10,46775.21,0.86,client,payée
350,64456.69,0,24,443,9,83760.68,1.31,client,payée
351,52797.94,0,86,216,17,65977.46,0.64,client,payée
352,86366.53,0,87,169,28,264029.5,16.19,client,impayée
353,67575.9,0,71,293,6,29215.94,0.37,client,payée
354,20478.77,1,59,113,27,134913.86,7.23,client,partielle
355,11704.03,3,66,30,9,57816.57,2.06,client,partielle
356,66029.83,1,22,338,23,109852.87,0.42,client,payée
357,7518.57,2,83,219,3,16799.58,2.84,client,partielle
358,60648.68,0,60,400,7,42074.14,0.0,client,payée
359,94321.87,1,89,468,12,71137.88,8.5,client,impayée
360,59670.05,2,26,361,18,174399.76,3.9,client,payée
361,41876.14,0,12,47,10,42543.08,3.01,client,payée
362,66112.38,2,15,284,2,8553.27,8.84,client,impayée
363,48534.02,2,16,405,17,147957.35,3.66,client,payée
364,56833.59,0,52,41,3,15408.21,4.52,client,partielle
365,94439.16,1,67,253,1,2585.58,8.43,client,impayée
366,41679.75,2,31,301,8,46800.25,6.38,client,partielle
367,96313.1,3,39,353,13,83223.81,5.38,client,partielle
368,91008.31,2,6,112,11,76356.96,6.09,client,partielle
369,23600.16,1,12,201,8,31045.97,1.53,client,payée
370,11589.32,0,24,448,20,195721.51,0.62,client,payée
371,14573.91,0,12,216,1,7896.15,4.87,client,payée
372,6731.07,2,67,141,2,15522.25,1.27,client,partielle
373,13972.08,1,72,222,18,161693.63,0.24,client,payée
374,69885.64,1,35,494,18,39762.37,1.47,client,payée
375,11762.92,1,36,171,9,62146.24,6.37,client,partielle
376,35302.68,1,17,225,7,59798.87,6.16,client,partielle
377,85263.15,1,30,119,9,20474.91,11.68,client,impayée
378,7210.83,0,85,110,10,80491.66,5.62,client,partielle
379,82374.51,3,33,373,26,257857.03,2.9,client,partielle
380,31776.2,2,22,58,2,13494.57,1.51,client,payée
381,16225.66,2,73,472,5,26987.7,7.1,client,impayée
382,71190.03,1,16,276,17,95690.74,2.65,client,payée
383,64749.57,0,6,114,2,14871.69,8.45,client,partielle
384,88359.84,2,46,191,20,131192.92,9.54,client,impayée
385,74831.75,2,11,1,10,83005.62,2.17,client,payée
386,81330.69,2,51,23,1,5373.1,2.11,client,partielle
387,31793.28,3,58,33,12,64063.17,12.25,client,impayée
388,21856.76,3,19,185,24,191225.35,2.53,client,payée
389,76308.4,1,62,209,15,107462.24,6.13,client,partielle
390,81649.3,0,37,182,6,49348.71,2.37,client,payée
391,99097.99,0,71,450,14,127362.34,6.57,client,partielle
392,44198.68,4,67,95,14,57501.45,0.95,client,partielle
393,40341.72,2,52,123,15,67804.3,9.04,client,impayée
394,78759.23,2,70,159,1,6215.61,20.42,client,impayée
395,37376.34,2,85,438,25,236090.56,7.26,client,impayée
396,93421.95,1,69,246,17,147517.55,2.22,client,partielle
397,86549.21,0,40,400,11,63223.22,4.05,client,payée
398,45754.43,4,21,165,15,98774.27,5.54,client,partielle
399,76332.75,3,6,357,20,153969.62,1.07,client,payée
400,76681.57,4,37,248,16,98903.05,1.66,client,partielle
401,14796.77,2,10,391,21,58539.39,8.09,client,partielle
402,90742.53,2,47,245,29,139834.93,14.53,client,impayée
403,52998.98,1,15,484,27,64284.25,1.59,client,payée
404,83513.46,2,9,257,9,66230.31,0.8,client,payée
405,35404.71,1,34,478,29,136212.72,19.98,client,impayée
406,90074.71,4,14,146,12,94882.82,1.93,client,payée
407,41974.16,2,28,426,2,10875.36,7.54,client,partielle
408,6029.58,4,63,295,15,35470.6,2.38,client,partielle
409,91011.29,1,71,282,28,141033.99,14.89,client,impayée
410,13672.23,1,65,331,9,33746.01,4.58,client,partielle
411,35334.8,0,30,193,28,104001.13,2.68,client,payée
412,95255.89,0,43,125,16,80334.06,0.98,client,payée
413,95307.68,0,86,125,17,167052.38,1.48,client,payée
414,59476.6,3,7,57,20,193611.08,9.72,client,impayée
415,65024.54,2,42,486,27,227546.11,0.29,client,payée
416,47602.32,2,46,197,23,91165.97,0.85,client,payée
417,32855.02,2,52,214,4,32445.73,1.07,client,payée
418,36223.13,0,17,461,8,16983.26,0.37,client,payée
419,68889.25,0,60,17,7,17155.55,5.79,client,partielle
420,76475.58,1,63,498,6,52115.17,19.89,client,impayée
421,80200.01,1,67,391,5,32569.46,0.75,client,payée
422,80013.72,2,84,358,10,49864.61,8.02,client,impayée
423,13664.58,1,47,199,3,23771.0,0.97,client,payée
424,51969.93,1,79,268,24,69957.69,18.21,client,impayée
425,10468.08,0,61,294,20,85869.83,3.54,client,payée
426,57205.24,3,25,215,24,187700.84,9.4,client,impayée
427,46945.4,2,58,176,17,62174.96,0.93,client,payée
428,89331.9,3,83,439,16,108882.26,10.83,client,impayée
429,38336.93,2,57,310,11,61394.37,0.43,client,payée
430,16121.37,1,49,72,13,47045.84,0.12,client,payée
431,18584.21,1,40,15,18,163927.11,6.17,client,partielle
432,77343.51,3,67,30,14,76779.09,0.56,client,partielle
433,63730.72,3,5,55,2,13581.44,10.04,client,impayée
434,14606.65,0,71,73,12,48291.61,4.85,client,partielle
435,12990.15,2,83,109,22,105037.67,2.01,client,partielle
436,71592.07,2,37,149,21,50229.28,1.62,client,payée
437,11912.49,0,36,236,29,170105.73,0.43,client,payée
438,83076.71,2,62,316,26,123727.98,5.8,client,partielle
439,72093.01,3,30,462,10,46352.3,12.45,client,impayée
440,12728.13,1,65,136,29,264466.84,7.07,client,partielle
441,13059.58,2,21,175,7,53416.71,4.83,client,partielle
442,98730.76,3,77,248,2,11316.63,0.63,client,partielle
443,40555.73,2,73,376,25,89070.24,8.79,client,impayée
444,40211.0,1,33,420,18,176148.2,16.82,client,impayée
445,82215.96,1,67,329,17,44168.08,1.52,client,payée
446,94988.61,2,10,26,16,49421.57,2.73,client,payée
447,98670.1,3,63,84,2,8325.14,0.07,client,partielle
448,76570.93,1,25,230,11,105998.5,8.92,client,partielle
449,40744.66,2,49,123,19,80390.08,0.1,client,payée
450,12932.57,2,49,326,22,130491.03,3.33,client,partielle
451,78828.96,2,39,162,7,56625.22,4.3,client,partielle
452,58048.4,3,56,60,27,254704.1,0.29,client,payée
453,45301.09,2,50,151,22,150495.84,0.97,client,payée
454,91103.67,2,70,253,17,86261.73,7.82,client,impayée
455,15563.76,1,61,487,15,148261.04,1.46,client,payée
456,51799.38,0,46,225,9,19883.71,6.45,client,partielle
457,6078.6,0,77,125,12,103888.62,6.92,client,partielle
458,49522.76,1,81,85,8,33755.51,2.62,client,partielle
459,10348.81,5,20,169,28,239109.21,0.33,client,payée
460,16287.7,3,9,346,2,6594.67,0.05,client,payée
461,16164.99,4,5,69,17,81167.3,3.39,client,partielle
462,66674.98,1,26,250,16,39164.33,0.37,client,payée
463,75874.26,1,52,183,23,82730.5,6.48,client,partielle
464,60420.03,2,30,73,16,109157.42,2.4,client,payée
465,96406.39,0,38,380,3,24276.05,5.75,client,partielle
466,40612.71,1,62,45,19,176506.47,2.62,client,partielle
467,32142.65,1,89,61,16,47319.75,4.95,client,partielle
468,87516.92,1,11,417,11,34370.41,8.95,client,partielle
